"userID","stimID","timestamp","actionType","user_stimuli_actionsID","target"
"ER14122","3","2014-01-08 17:12:45","click","1","null"
"ER14122","3","2014-01-08 17:13:54","click","2","like"
"ER14122","3","2014-01-08 17:13:56","click","3","null"
"ER14122","3","2014-01-08 17:13:56","click","4","null"
"ER14122","3","2014-01-08 17:13:59","click","5","null"
"ER14122","3","2014-01-08 17:14:00","click","6","null"
"ER14122","3","2014-01-08 17:14:03","click","7","null"
"ER14122","3","2014-01-08 17:14:15","click","8","commentBox"
"ER14123","3","2014-01-08 17:27:10","click","9","like"
"ER14124","3","2014-01-08 17:46:04","click","10","like"
"ER14124","3","2014-01-08 17:46:06","click","11","null"
"ER14125","3","2014-01-08 19:00:13","click","12","like"
"moj1010","3","2014-01-09 12:11:31","click","14","photo"
"moj1011","3","2014-01-09 12:17:16","click","15","photo"
"moj1011","3","2014-01-09 12:18:40","click","16","photo"
"ER14134","3","2014-01-09 17:43:18","click","17","like"
"ER14134","3","2014-01-09 17:44:22","click","18","photo"
"ER14136","3","2014-01-09 17:53:52","click","19","like"
"GM14002","3","2014-01-10 13:23:39","click","20","photo"
"GM14002","3","2014-01-10 13:24:07","click","21","photo"
"FF14003","3","2014-01-12 16:39:41","click","22","null"
"FF14003","3","2014-01-12 16:40:41","click","23","null"
"FF14003","3","2014-01-12 16:40:45","click","24","null"
"FF14003","3","2014-01-12 16:40:52","click","25","null"
"GM14010","3","2014-01-13 00:00:02","click","26","photo"
"GM14010","3","2014-01-13 00:00:28","click","27","photo"
"GM14010","3","2014-01-13 00:01:24","click","28","photo"
"GM14014","3","2014-01-13 01:09:38","click","29","photo"
"GM14014","3","2014-01-13 01:10:21","click","30","photo"
"GM14018","3","2014-01-13 03:36:08","click","31","photo"
"FF14009","3","2014-01-13 05:18:10","click","32","null"
"GO14001","3","2014-01-13 11:33:30","click","33","null"
"GO14001","3","2014-01-13 11:33:37","click","34","photo"
"GO14110","3","2014-01-13 13:47:00","click","35","null"
"GO14110","3","2014-01-13 13:47:01","click","36","photo"
"GO14110","3","2014-01-13 13:47:36","click","37","photo"
"ER14146","3","2014-01-18 09:20:47","click","38","null"
"ER14146","3","2014-01-18 09:21:33","click","39","like"
"ER14146","3","2014-01-18 09:21:42","click","40","photo"
"ER14146","3","2014-01-18 09:22:13","click","41","commentBox"
"FF14177","3","2014-01-19 09:27:25","click","42","like"
"GMNL10096","3","2014-01-20 10:35:32","click","43","photo"
"SSINL2000018","3","2014-01-20 11:14:00","click","44","null"
"SSINL2000118","3","2014-01-20 15:05:23","click","45","photo"
"SSINL2000145","3","2014-01-20 16:38:02","click","46","photo"
"SSINL2000145","3","2014-01-20 16:44:16","click","47","photo"
"SSINL2000180","3","2014-01-20 18:53:27","click","48","photo"
"SSINL2000180","3","2014-01-20 18:54:07","click","49","null"
"SSINL2000187","3","2014-01-20 19:42:59","click","50","album"
"SSINL2000187","3","2014-01-20 19:55:46","click","51","Reageren"
"SSINL2000187","3","2014-01-20 19:55:51","click","52","Reageren"
"SSINL2000187","3","2014-01-20 19:56:02","click","53","null"
"SSINL2000191","3","2014-01-20 20:49:06","click","54","null"
"SSINL2000191","3","2014-01-20 20:49:26","click","55","Reageren"
"SSINL2000191","3","2014-01-20 20:49:28","click","56","Reageren"
"SSINL2000191","3","2014-01-20 20:49:37","click","57","photo"
"SSINL2000233","3","2014-01-21 04:46:16","click","58","null"
"SSINL2000286","3","2014-01-21 06:13:06","click","59","photo"
"SSINL2000286","3","2014-01-21 06:13:37","click","60","photo"
"SSINL2000286","3","2014-01-21 06:19:29","click","61","photo"
"SSINL2000286","3","2014-01-21 06:20:58","click","62","photo"
"SSINL2000307","3","2014-01-21 06:40:52","click","63","photo"
"SSINL2000308","3","2014-01-21 06:41:25","click","64","null"
"SSINL2000307","3","2014-01-21 06:41:35","click","65","photo"
"SSINL2000308","3","2014-01-21 06:42:00","click","66","photo"
"SSINL2000337","3","2014-01-21 07:34:42","click","67","null"
"SSINL2000337","3","2014-01-21 07:34:45","click","68","null"
"SSINL2000337","3","2014-01-21 07:34:46","click","69","null"
"SSINL2000364","3","2014-01-21 08:04:01","click","70","null"
"SSINL2000364","3","2014-01-21 08:04:02","click","71","like"
"SSINL2000364","3","2014-01-21 08:04:11","click","72","null"
"SSINL2000364","3","2014-01-21 08:04:13","click","73","null"
"SSINL2000424","3","2014-01-21 09:54:42","click","74","null"
"SSINL2000479","3","2014-01-21 11:37:10","click","75","photo"
"SSINL2000479","3","2014-01-21 11:37:55","click","76","null"
"SSINL2000479","3","2014-01-21 11:37:59","click","77","null"
"SSINL2000495","3","2014-01-21 12:13:59","click","78","photo"
"GMNL10002","3","2014-02-02 16:26:59","click","79","photo"
"GMNL10005","3","2014-02-02 22:42:28","click","80","photo"
"GMNL10006","3","2014-02-02 23:06:37","click","81","brand"
"GMNL10007","3","2014-02-02 23:40:21","click","82","photo"
"GMNL10012","3","2014-02-03 01:04:39","click","83","photo"
"ERNL10094","3","2014-02-03 17:46:16","click","84","photo"
"GMNL10013","3","2014-02-03 23:10:20","click","85","album"
"GMNL10013","3","2014-02-03 23:11:13","click","86","photo"
"GMNL10014","3","2014-02-03 23:31:41","click","87","null"
"GMNL10014","3","2014-02-03 23:31:43","click","88","album"
"GMNL10015","3","2014-02-04 00:04:14","click","89","photo"
"GMNL10016","3","2014-02-04 00:30:26","click","90","photo"
"GMNL10017","3","2014-02-04 00:45:33","click","91","photo"
"GMNL10018","3","2014-02-04 01:48:47","click","92","photo"
"GMNL10049","3","2014-02-04 12:36:15","click","93","like"
"GMNL10049","3","2014-02-04 12:36:17","click","94","Reageren"
"GMNL10049","3","2014-02-04 12:36:39","comment","95","null"
"GMNL10049","3","2014-02-04 12:37:18","click","96","photo"
"GMNL10049","3","2014-02-04 12:38:26","click","97","photo"
"GMNL10019","3","2014-02-04 12:39:58","click","98","photo"
"GMNL10049","3","2014-02-04 12:39:58","click","99","photo"
"GMNL10019","3","2014-02-04 12:41:33","click","100","like"
"GMNL10019","3","2014-02-04 12:41:43","click","101","photo"
"GMNL10019","3","2014-02-04 12:43:07","click","102","like"
"GMNL10019","3","2014-02-04 12:43:09","click","103","photo"
