"userid","segment","cell","timestamp","done","doneTime"
"ER14121","3","2","2014-01-08 17:09:44","True","2014-01-08 17:09:44"
"ER14122","3","3","2014-01-08 17:18:48","True","2014-01-08 17:18:48"
"ER14123","2","4","2014-01-08 17:42:43","True","2014-01-08 17:42:43"
"ER14124","1","4","2014-01-08 17:51:22","True","2014-01-08 17:51:22"
"12412421313","0","0","2014-01-08 17:54:26",,"2014-01-08 17:54:26"
"12313","0","0","2014-01-08 18:55:02","True","2014-01-08 18:55:02"
"ER14125","4","3","2014-01-08 19:02:25","True","2014-01-08 19:02:25"
"ER14128","3","4","2014-01-08 19:46:43","True","2014-01-08 19:46:43"
"ER14129","2","3","2014-01-09 07:26:52","True","2014-01-09 07:26:52"
"moj106","3","3","2014-01-09 11:13:36",,"2014-01-09 11:13:36"
"moj104","3","3","2014-01-09 10:18:48",,"2014-01-09 10:18:48"
"moj103","3","3","2014-01-09 10:06:15",,"2014-01-09 10:06:15"
"moj102","3","3","2014-01-09 09:53:27","True","2014-01-09 09:53:27"
"moj101","3","3","2014-01-09 09:48:35","True","2014-01-09 09:48:35"
"moj107","3","3","2014-01-09 11:40:14",,"2014-01-09 11:40:14"
"moj108","3","3","2014-01-09 11:41:28",,"2014-01-09 11:41:28"
"moj109","3","3","2014-01-09 11:57:26",,"2014-01-09 11:57:26"
"moj1010","3","3","2014-01-09 12:08:44",,"2014-01-09 12:08:44"
"moj1011","3","3","2014-01-09 12:16:55",,"2014-01-09 12:16:55"
"ER14130","2","1","2014-01-09 17:22:13",,"2014-01-09 17:22:13"
"ER14131","2","4","2014-01-09 17:30:37","True","2014-01-09 17:30:37"
"ER14132","4","1","2014-01-09 17:33:37",,"2014-01-09 17:33:37"
"ER14133","4","1","2014-01-09 17:37:17",,"2014-01-09 17:37:17"
"ER14134","4","4","2014-01-09 17:39:46",,"2014-01-09 17:39:46"
"ER14135","2","1","2014-01-09 17:49:35",,"2014-01-09 17:49:35"
"ER14136","3","3","2014-01-09 17:51:47",,"2014-01-09 17:51:47"
"moj1022","2","1","2014-01-09 19:53:23",,"2014-01-09 19:53:23"
"moj10","2","1","2014-01-09 19:59:34",,"2014-01-09 19:59:34"
"moj1033","2","1","2014-01-09 23:47:25",,"2014-01-09 23:47:25"
"ER14137","4","1","2014-01-10 08:06:23","True","2014-01-10 08:06:23"
"GM14001","1","4","2014-01-10 13:06:25","True","2014-01-10 13:06:25"
"GM14002","2","4","2014-01-10 13:26:31","True","2014-01-10 13:26:31"
"GM14003","1","2","2014-01-10 13:43:02","True","2014-01-10 13:43:02"
"GM14004","1","1","2014-01-11 00:11:57","True","2014-01-11 00:11:57"
"GM14005","1","2","2014-01-11 00:28:53","True","2014-01-11 00:28:53"
